dataid,total_consumption,mci
4499,962.556,23.59920633
1953,721.673,23.95006674
9121,1032.374,23.88057598
7361,1558.04,23.78162444
9654,264.674,23.89681272
3506,1431.565,24.12229537
8368,1159.134,23.938736
8626,2370.628,23.91211609
1718,2571.656,24.0229831
2742,808.659,23.87247517
1463,555.733,23.75348666
2233,1265.24,23.77382369
187,1328.991,23.76971865
9912,1412.007,24.06031795
4031,739.921,23.84561834
9915,1158.46,23.8155551
3009,969.647,23.87115952
9156,700.18,23.93584188
7875,2078.704,23.81548684
8645,272.042,23.83295552
6593,1156.565,23.79785728
2755,1563.224,24.0235336
1714,1990.147,23.85831883
1202,2321.313,23.61823675
2980,1002.725,24.04832271
9142,434.14,23.70204644
4773,1286.039,23.90005437
1192,869.883,23.91579537
2472,1098.478,24.10137123
7850,1266.377,24.10456247
8622,479.976,23.98815334
9134,2152.236,24.06177198
1450,905.95,23.80311325
171,879.952,23.87808459
2986,644.165,23.65357791
